HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,141,12,Suffixes -FUL and -LESS,Word stress p30
2,141,24,PRO- / ANTI-,Ex 141.1 (p27)
3,142,45,LAST MINUTE,Ex 141.2 (p27)
4,142,54,Compound adjs with time,Intonation p62
5,143,73,EXCESS,Ex 142.1 (p59)
6,143,83,CORRUPT,Ex 142.2 (p60)
7,143,93,Inversion (revision),Survival: British slang (p104)
8,144,110,FEEL BAD ABOUT,Ex 143.1 (p100)
9,144,122,ARGUE FOR / AGAINST,Glottal stop p131
10,145,144,THRIVE,Ex 143.2 (p101)
11,145,155,IMPECCABLE,Stress in compounds p158
12,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
13,146,173,DROP OUT,Ex 145.1 (p156)
14,146,183,NOTES,Cleft / pseudo cleft (p196)
15,147,201,ACKNOWLEDGE,Ex 146.1 (p191)
16,147,212,Continuous infinitive,Ex 146.2 (p191)
17,147,220,The passive in newspapers,Connected speech p225
18,148,240,PUT SB DOWN,Ex 147.1 (p221)
19,148,247,GET HOLD OF SB,Ex 147.2 (p221)
20,148,255,NARROW DOWN,Politeness w/ WONDER / HOPE (p259)
21,149,274,WEAR AND TEAR,Ex 148.1 (p255)
22,150,292,ROUGH ESTIMATE,Rhyming words p285
23,150,301,VIVID DESCRIPTION,Ex 149.1 (p282)
24,150,308,TASTELESS,Schwa (p311)
25,,,GRAMMAR REVIEW,
26,,,REVISION,FINISH ANY EXERCISES NOT DONE.
27,,,REVISION,
28,,,END OF STEP EXAM,
29,,,GO THROUGH EXAM,
30,,,SPEAKER'S CORNER,
