HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,111,6,ABSTRACT,Survival p25
2,111,13,ORCHESTRA,Ex 111.1 (p23)
3,111,19,ORIGINAL,Ex 111.2 (p24)
4,112,30,FEEL AT HOME,Pron p55
5,112,36,SKY,Ex 112.1 (p52)
6,112,42,TAKE vs BRING,Ex 112.2 (p53)
7,112,49,TAKE INTO ACCOUNT,Ex 112.3 (p54)
8,113,61,TAKE AFTER,Saxon genitive p89
9,113,69,Saxon genitive - revision,Ex 113.1 (p87)
10,113,75,MARRIAGE,Ex 113.2 (p87)
11,113,80,Relative clauses - revision,Ex 113.3 (p88)
12,113,86,Relative clauses w/ WHOM,Rhotic accents p116
13,114,97,SURROUNDING,Ex 114.1 (p113)
14,114,103,HEAD FOR,Ex 114.2 (p114)
15,114,110,ELEVATOR,Ex 114.3 (p115)
16,115,121,PERSUADE,Overgeneralisation p145
17,115,127,TO WHAT EXTENT,Ex 115.1 (p142)
18,115,133,Speech verbs,Ex 115.2 (p142)
19,115,141,ARGUE,Ex 115.2 (p143)
20,,,GRAMMAR REVIEW,FINISH EXERCISES FROM THE FIRST HALF OF THE BOOK.
21,116,153,BREAKTHROUGH,Survival p173
22,116,159,POISON,Ex 116.1 (p170)
23,116,166,Conditionals - revision,Ex 116.2 (p171)
24,117,176,EXAMINE,Ex 116.3 (p172)
25,117,183,GARGLE,Omitting subj pronouns p173
26,117,188,BOO,Ex 117.1 (p203)
27,117,196,TWEET,Ex 117.2 (p204)
28,117,203,Auxiliaries to avoid repetition,Ex 117.3 p205
29,118,215,STORMY,Pron p230
30,118,221,PERMISSION,Ex 118.1 (p228)
31,118,228,OUGHT TO / HAD BETTER,Ex 118.2 (p228)
32,119,238,CHEAT,Ex 118.3 (p229)
33,119,244,BELIEFS,Transcriptions p254)
34,119,249,COLLAPSED,Ex 119.1 (p252)
35,120,262,COMMONLY,Ex 119.2 (p252)
36,120,269,OTHERS,Ex 119.3 (p253)
37,120,278,SIMPLY,Allophones p282
38,,,GRAMMAR REVIEW,
39,,,REVISION,FINISH ANY EXERCISES NOT DONE
40,,,REVISION,
41,,,END OF STEP EXAM,
42,,,SPEAKER'S CORNER,
