HOUR,LESSON NUMBER,NEW WORK TO,LAST WORD,EXERCISE
1,,,REVISION,STEP 13
2,131,17,EVEN IF,L131 PRON (pg. 27)
3,,,REVISION,Ex131.1 (pg. 24)
4,132,34,GRUMPY,Ex 131.2 (pg. 25)
5,,,REVISION,Ex 131.3 (pg. 26)
6,132,51,INVERSION WITH NEGATIVE FREQUENCY ADVERBS,L132 PRON (pg. 56)
7,,,REVISION,Ex 132.1 (pg. 53)
8,133,68,ADMIN,Ex 132.2 (pg. 54)
9,,,REVISION,Ex 132.3 (pg. 54)
10,133,85,PAST CONTINUOUS WITH ALWAYS/CONSTANTLY,L133 SURVIVAL ENGLISH (pg. 87)
11,,,REVISION,Ex 133.1 (pg. 84)
12,134,102,FLAW,Ex 133.2 (pg. 91)
13,,,REVISION,Ex 133.3 (pg. 92)
14,134,125,SPARE TIME,L134 PRON (pg. 119)
15,,,REVISION,Ex 134.1 (pg. 116)
16,135,140,ANCIENT,Ex 134.2 (pg. 117)
17,,,REVISION,Ex 134.3 (pg. 117)
18,135,155,HAVE YET TO,135 PRON (pg. 157)
19,,,REVISION,Ex 135.1 (pg. 155)
20,,,GRAMMAR REVIEW,DO ANY EXERCISES NOT FINISHED.
21,,,REVISION,L136 PRON (pg. 199)
22,136,175,UNDERRATED,Ex 136.1 (pg. 197)
23,,,REVISION,Ex 136.2 (pg. 205)
24,136,195,BE OUT,L137 PRON (pg. 236)
25,,,REVISION,Ex 137.1 (pg. 234)
26,137,215,SIBLINGS,Ex 137.2 (pg. 234)
27,,,REVISION,L138 SURVIVAL ENGLISH (pg. 267)
28,138,241,URGE,Ex 138.1 (pg. 264)
29,,,REVISION,Ex 138.2 (pg. 275)
30,138,261,ADJECTIVES + - ING,L139 PRON (pg. 293)
31,,,REVISION,Ex 139.1 (pg. 291)
32,139,281,AMATURE,Ex 139.2 (pg. 291)
33,,,REVISION,Ex 139.3 (pg. 292)
34,140,301,ANTICIPATE,L140 PRON (pg. 322)
35,,,REVISION,Ex 140.1 (pg. 319)
36,140,318,FORMING FUTURE IN THE PAST,Ex 140.2 (pg. 319)
37,,,FINISH BOOK,Ex 140.3 (pg. 320)
38,,,GRAMMAR REVIEW,
39,,,EXAM PREP,ANY UNFINISHED EXERCISES.
40,,,END OF STEP EXAM,
